chid,alt_id,alt,chosen,price,catch
22,4,pier,0,88.062,0.0451
23,1,beach,0,100.674,0.5333
23,2,boat,1,15.134,0.1665
23,3,charter,0,50.134,0.3975
23,4,pier,0,100.674,0.4522
24,1,beach,0,28.314,0.1049
24,2,boat,0,19.734,0.0613
24,3,charter,1,43.734,0.3087
24,4,pier,0,28.314,0.0079
25,1,beach,0,33.462,0.0678
25,2,boat,0,34.32,0.0559
25,3,charter,1,69.32,0.6456
25,4,pier,0,33.462,0.0789
26,1,beach,1,67.784,0.5333
26,2,boat,0,17.862,0.2413
26,3,charter,0,52.862,1.0266
26,4,pier,0,67.784,0.4522
27,1,beach,0,50.32,0.1049
27,2,boat,0,49.062,0.1574
27,3,charter,0,73.062,0.4671
27,4,pier,1,50.32,0.0451
28,1,beach,0,72.462,0.0678
28,2,boat,1,74.32,0.0897
28,3,charter,0,109.32,1.0905
28,4,pier,0,72.462,0.0789
29,1,beach,0,70.074,0.5333
29,2,boat,0,10.534,0.0156
29,3,charter,1,45.534,0.0058
29,4,pier,0,70.074,0.4522
30,1,beach,0,131.274,0.5333
30,2,boat,0,19.734,0.0156
30,3,charter,1,54.734,0.0058
30,4,pier,0,131.274,0.4522
31,1,beach,0,28.314,0.1049
31,2,boat,0,19.734,0.0023
31,3,charter,1,43.734,0.0046
31,4,pier,0,28.314,0.0451
32,1,beach,0,49.062,0.1049
32,2,boat,0,11.322,0.0613
32,3,charter,1,35.322,0.3087
32,4,pier,0,49.062,0.0079
33,1,beach,0,33.462,0.1049
33,2,boat,1,7.722,0.0023
33,3,charter,0,31.722,0.0046
33,4,pier,0,33.462,0.0451
34,1,beach,1,9.522,0.0678
34,2,boat,0,78.292,0.0014
34,3,charter,0,107.292,0.0029
34,4,pier,0,9.522,0.0789
35,1,beach,0,25.662,0.1049
35,2,boat,0,5.922,0.0613
35,3,charter,0,29.922,0.3087
35,4,pier,1,25.662,0.0079
36,1,beach,0,144.144,0.5333
36,2,boat,0,7.722,0.0361
36,3,charter,1,42.722,0.4216
36,4,pier,0,144.144,0.0069
37,1,beach,0,120.004,0.0678
37,2,boat,0,252.64,0.0014
37,3,charter,0,281.64,0.0029
37,4,pier,1,120.004,0.0789
38,1,beach,0,25.648,0.2537
38,2,boat,1,80.608,0.0531
38,3,charter,0,105.608,0.0052
38,4,pier,0,25.648,0.1498
39,1,beach,0,115.808,0.5333
39,2,boat,0,25.004,0.0156
39,3,charter,1,60.004,0.0058
39,4,pier,0,115.808,0.4522
40,1,beach,0,32.604,0.0678
40,2,boat,0,68.64,0.1643
40,3,charter,0,97.64,0.5391
40,4,pier,1,32.604,0.0789
41,1,beach,0,10.296,0.0678
41,2,boat,1,46.332,0.1643
41,3,charter,0,75.332,0.5391
41,4,pier,0,10.296,0.0789
42,1,beach,0,10.296,0.0678
42,2,boat,0,54.912,0.0897
42,3,charter,1,89.912,1.0905
42,4,pier,0,10.296,0.0789
43,1,beach,0,231.472,0.5333
43,2,boat,1,15.096,0.2413
43,3,charter,0,50.096,1.0266
43,4,pier,0,231.472,0.4522
44,1,beach,0,59.248,0.2537
44,2,boat,0,186.208,0.7369
44,3,charter,1,211.208,2.3101
44,4,pier,0,59.248,0.1498
45,1,beach,0,231.472,0.5333
45,2,boat,0,15.096,0.2413
45,3,charter,1,50.096,1.0266
45,4,pier,0,231.472,0.4522
46,1,beach,0,19.896,0.0678
46,2,boat,0,89.532,0.0014
46,3,charter,0,118.532,0.0029
46,4,pier,1,19.896,0.0789
47,1,beach,0,341.872,0.5333
47,2,boat,0,22.296,0.2413
47,3,charter,1,57.296,1.0266
47,4,pier,0,341.872,0.4522
48,1,beach,0,80.608,0.5333
48,2,boat,0,17.404,0.2413
48,3,charter,1,52.404,1.0266
48,4,pier,0,80.608,0.4522
49,1,beach,1,24.334,0.0678
49,2,boat,0,89.93,0.1643
49,3,charter,0,118.93,0.5391
49,4,pier,0,24.334,0.0789
50,1,beach,1,11.322,0.0678
50,2,boat,0,93.092,0.1643
50,3,charter,0,122.092,0.5391
50,4,pier,0,11.322,0.0789
51,1,beach,0,177.744,0.5333
51,2,boat,0,9.522,0.0156
51,3,charter,1,44.522,0.0058
51,4,pier,0,177.744,0.4522
52,1,beach,0,5.922,0.0678
52,2,boat,0,48.692,0.1643
52,3,charter,0,77.692,0.5391
52,4,pier,1,5.922,0.0789
53,1,beach,0,177.744,0.5333
53,2,boat,1,9.522,0.2413
53,3,charter,0,44.522,1.0266
53,4,pier,0,177.744,0.4522
54,1,beach,0,70.074,0.5333
54,2,boat,1,10.534,0.0361
54,3,charter,0,45.534,0.4216
54,4,pier,0,70.074,0.0069
55,1,beach,0,41.514,0.1049
55,2,boat,0,28.934,0.0613
55,3,charter,1,52.934,0.3087
55,4,pier,0,41.514,0.0079
56,1,beach,0,21.714,0.1049
56,2,boat,0,15.134,0.0023
56,3,charter,1,39.134,0.0046
56,4,pier,0,21.714,0.0451
57,1,beach,0,144.144,0.5333
57,2,boat,0,7.722,0.0156
57,3,charter,1,42.722,0.0058
57,4,pier,0,144.144,0.4522
58,1,beach,0,25.662,0.1049
58,2,boat,1,5.922,0.0613
58,3,charter,0,29.922,0.3087
58,4,pier,0,25.662,0.0079
59,1,beach,0,244.944,0.5333
59,2,boat,1,13.122,0.0156
59,3,charter,0,48.122,0.0058
59,4,pier,0,244.944,0.4522
60,1,beach,0,144.144,0.5333
60,2,boat,0,7.722,0.2413
60,3,charter,1,42.722,1.0266
60,4,pier,0,144.144,0.4522
61,1,beach,0,5.922,0.0678
61,2,boat,0,48.692,0.0014
61,3,charter,0,77.692,0.0029
61,4,pier,1,5.922,0.0789
62,1,beach,0,93.092,0.0678
62,2,boat,0,93.092,0.2601
62,3,charter,0,118.092,0.5391
62,4,pier,1,93.092,0.0503
63,1,beach,0,177.744,0.5333
63,2,boat,0,9.522,0.0361
63,3,charter,1,44.522,0.4216
63,4,pier,0,177.744,0.0069
64,1,beach,0,41.262,0.1049
64,2,boat,1,9.522,0.1574
64,3,charter,0,33.522,0.4671
64,4,pier,0,41.262,0.0451
65,1,beach,0,9.522,0.0678
65,2,boat,0,78.292,0.1643
65,3,charter,0,107.292,0.5391
65,4,pier,1,9.522,0.0789
66,1,beach,0,76.944,0.5333
66,2,boat,0,4.122,0.2413
66,3,charter,1,39.122,1.0266
66,4,pier,0,76.944,0.4522
67,1,beach,0,177.744,0.5333
67,2,boat,1,9.522,0.2413
67,3,charter,0,44.522,1.0266
67,4,pier,0,177.744,0.4522
68,1,beach,0,177.744,0.5333
68,2,boat,0,9.522,0.1665
68,3,charter,1,44.522,0.3975
68,4,pier,0,177.744,0.4522
69,1,beach,0,244.944,0.5333
69,2,boat,1,13.122,0.2413
69,3,charter,0,48.122,1.0266
69,4,pier,0,244.944,0.4522
70,1,beach,0,33.462,0.1049
70,2,boat,0,7.722,0.1574
70,3,charter,0,31.722,0.4671
70,4,pier,1,33.462,0.0451
71,1,beach,0,33.462,0.1049
71,2,boat,1,7.722,0.0023
71,3,charter,0,31.722,0.0046
71,4,pier,0,33.462,0.0451
72,1,beach,0,5.922,0.0678
72,2,boat,0,25.662,0.0102
72,3,charter,1,60.662,0.0209
72,4,pier,0,5.922,0.0789
73,1,beach,0,345.744,0.5333
73,2,boat,0,18.522,0.1665
73,3,charter,1,53.522,0.3975
73,4,pier,0,345.744,0.4522
74,1,beach,0,244.944,0.5333
74,2,boat,1,13.122,0.0361
74,3,charter,0,48.122,0.4216
74,4,pier,0,244.944,0.0069
75,1,beach,0,64.662,0.1049
75,2,boat,1,14.922,0.0023
75,3,charter,0,38.922,0.0046
75,4,pier,0,64.662,0.0451
76,1,beach,1,9.522,0.0678
76,2,boat,0,78.292,0.1643
76,3,charter,0,107.292,0.5391
76,4,pier,0,9.522,0.0789
77,1,beach,1,24.696,0.0678
77,2,boat,0,111.132,0.1643
77,3,charter,0,140.132,0.5391
77,4,pier,0,24.696,0.0789
78,1,beach,0,33.892,0.0678
78,2,boat,1,33.892,0.2601
78,3,charter,0,58.892,0.5391
78,4,pier,0,33.892,0.0503
79,1,beach,0,144.144,0.5333
79,2,boat,0,7.722,0.0361
79,3,charter,1,42.722,0.4216
79,4,pier,0,144.144,0.0069
80,1,beach,0,110.544,0.5333
80,2,boat,1,5.922,0.2413
80,3,charter,0,40.922,1.0266
80,4,pier,0,110.544,0.4522
81,1,beach,0,76.944,0.5333
81,2,boat,0,4.122,0.0156
81,3,charter,1,39.122,0.0058
81,4,pier,0,76.944,0.4522
82,1,beach,1,7.722,0.0678
82,2,boat,0,63.492,0.0014
82,3,charter,0,92.492,0.0029
82,4,pier,0,7.722,0.0789
83,1,beach,0,177.744,0.5333
83,2,boat,1,9.522,0.1665
83,3,charter,0,44.522,0.3975
83,4,pier,0,177.744,0.4522
84,1,beach,0,17.862,0.1049
84,2,boat,1,4.122,0.1574
84,3,charter,0,28.122,0.4671
84,4,pier,0,17.862,0.0451
85,1,beach,0,33.462,0.2537
85,2,boat,0,33.462,0.0626
85,3,charter,1,51.962,0.2773
85,4,pier,0,33.462,0.0014
86,1,beach,0,8.514,0.2537
86,2,boat,1,39.474,0.6817
86,3,charter,0,64.474,2.3014
86,4,pier,0,8.514,0.1498
87,1,beach,0,38.134,0.0678
87,2,boat,0,54.714,0.0559
87,3,charter,1,89.714,0.6456
87,4,pier,0,38.134,0.0789
88,1,beach,0,24.334,0.0678
88,2,boat,1,34.914,0.0897
88,3,charter,0,69.914,1.0905
88,4,pier,0,24.334,0.0789
89,1,beach,0,100.674,0.5333
89,2,boat,0,15.134,0.2413
89,3,charter,0,50.134,1.0266
89,4,pier,1,100.674,0.4522
90,1,beach,0,104.214,0.2537
90,2,boat,0,104.214,0.2339
90,3,charter,0,122.714,0.6288
90,4,pier,1,104.214,0.1498
91,1,beach,0,161.874,0.5333
91,2,boat,0,24.334,0.0156
91,3,charter,1,59.334,0.0058
91,4,pier,0,161.874,0.4522
92,1,beach,0,48.114,0.1049
92,2,boat,0,33.534,0.1574
92,3,charter,1,57.534,0.4671
92,4,pier,0,48.114,0.0451
93,1,beach,0,64.662,0.0678
93,2,boat,1,66.32,0.0102
93,3,charter,0,101.32,0.0209
93,4,pier,0,64.662,0.0789
94,1,beach,0,72.462,0.0678
94,2,boat,0,74.32,0.0102
94,3,charter,1,109.32,0.0209
94,4,pier,0,72.462,0.0789
95,1,beach,0,422.984,0.5333
95,2,boat,1,111.462,0.0051
95,3,charter,0,146.462,1.0266
95,4,pier,0,422.984,0.4522
96,1,beach,0,56.862,0.0678
96,2,boat,0,58.32,0.0102
96,3,charter,1,93.32,0.0209
96,4,pier,0,56.862,0.0789
97,1,beach,0,72.462,0.0678
97,2,boat,1,74.32,0.0897
97,3,charter,0,109.32,1.0905
97,4,pier,0,72.462,0.0789
98,1,beach,0,210.566,0.0678
98,2,boat,0,49.74,0.0732
98,3,charter,1,79.24,0.1726
98,4,pier,0,210.566,0.0052
99,1,beach,0,43.74,0.2537
99,2,boat,0,52.488,0.2339
99,3,charter,0,70.988,0.6288
99,4,pier,1,43.74,0.1498
100,1,beach,1,31.74,0.2537
100,2,boat,0,38.088,0.2339
100,3,charter,0,56.588,0.6288
100,4,pier,0,31.74,0.1498
101,1,beach,1,19.74,0.2537
101,2,boat,0,23.688,0.2339
101,3,charter,0,42.188,0.6288
101,4,pier,0,19.74,0.1498
102,1,beach,0,31.74,0.2537
102,2,boat,0,38.088,0.2339
102,3,charter,0,56.588,0.6288
102,4,pier,1,31.74,0.1498
103,1,beach,0,55.77,0.0678
103,2,boat,0,25.74,0.0108
103,3,charter,1,60.74,0.2377
103,4,pier,0,55.77,0.0025
104,1,beach,0,42.77,0.0678
104,2,boat,0,19.74,0.0559
104,3,charter,1,54.74,0.6456
104,4,pier,0,42.77,0.0789
105,1,beach,0,261.366,0.0678
105,2,boat,0,61.74,0.0732
105,3,charter,1,91.24,0.1726
105,4,pier,0,261.366,0.0052
106,1,beach,0,268.702,0.5333
106,2,boat,0,146.77,0.1665
106,3,charter,1,181.77,0.3975
106,4,pier,0,268.702,0.4522
107,1,beach,0,55.74,0.2537
107,2,boat,0,221.102,0.6817
107,3,charter,1,246.102,2.3014
107,4,pier,0,55.74,0.1498
108,1,beach,0,159.766,0.0678
108,2,boat,0,37.74,0.0732
108,3,charter,1,67.24,0.1726
108,4,pier,0,159.766,0.0052
109,1,beach,0,16.77,0.0678
109,2,boat,0,32.766,0.1643
109,3,charter,0,61.766,0.5391
109,4,pier,1,16.77,0.0789
110,1,beach,0,125.902,0.5333
110,2,boat,1,68.77,0.2413
110,3,charter,0,103.77,1.0266
110,4,pier,0,125.902,0.4522
111,1,beach,0,56.862,0.0678
111,2,boat,1,58.32,0.0108
111,3,charter,0,93.32,0.2377
111,4,pier,0,56.862,0.0025
112,1,beach,0,25.662,0.0678
112,2,boat,0,26.32,0.0108
112,3,charter,1,61.32,0.2377
112,4,pier,0,25.662,0.0025
113,1,beach,0,46.258,0.0678
113,2,boat,0,18.32,0.0732
113,3,charter,1,47.82,0.1726
113,4,pier,0,46.258,0.0052
114,1,beach,1,42.32,0.2537
114,2,boat,0,42.32,0.0233
114,3,charter,0,60.82,0.0219
114,4,pier,0,42.32,0.1498
115,1,beach,0,64.662,0.0678
115,2,boat,0,66.32,0.0559
115,3,charter,1,101.32,0.6456
115,4,pier,0,64.662,0.0789
116,1,beach,0,42.32,0.1049
116,2,boat,0,41.262,0.1574
116,3,charter,1,65.262,0.4671
116,4,pier,0,42.32,0.0451
117,1,beach,0,58.32,0.2537
117,2,boat,1,58.32,0.0233
117,3,charter,0,76.82,0.0219
117,4,pier,0,58.32,0.1498
118,1,beach,0,77.234,0.0678
118,2,boat,0,73.002,0.0102
118,3,charter,1,108.002,0.0209
118,4,pier,0,77.234,0.0789
119,1,beach,0,150.15,0.5333
119,2,boat,0,62.634,0.2413
119,3,charter,1,97.634,1.0266
119,4,pier,0,150.15,0.4522
120,1,beach,0,135.634,0.0678
120,2,boat,0,267.552,0.1643
120,3,charter,1,296.552,0.0041
120,4,pier,0,135.634,0.0789
121,1,beach,1,73.002,0.2537
121,2,boat,0,73.002,0.2339
121,3,charter,0,91.502,0.6288
121,4,pier,0,73.002,0.1498
122,1,beach,0,205.27,0.0678
122,2,boat,1,94.74,0.0897
122,3,charter,0,129.74,1.0905
122,4,pier,0,205.27,0.0789
123,1,beach,0,55.77,0.0678
123,2,boat,0,25.74,0.0897
123,3,charter,1,60.74,1.0905
123,4,pier,0,55.77,0.0789
124,1,beach,1,61.74,0.2537
124,2,boat,0,74.088,0.2339
124,3,charter,0,92.588,0.6288
124,4,pier,0,61.74,0.1498
125,1,beach,0,120.77,0.0678
125,2,boat,1,55.74,0.0102
125,3,charter,0,90.74,0.0209
125,4,pier,0,120.77,0.0789
126,1,beach,0,146.77,0.0678
126,2,boat,0,67.74,0.0102
126,3,charter,1,102.74,0.0209
126,4,pier,0,146.77,0.0789
127,1,beach,0,55.74,0.2537
127,2,boat,0,66.888,0.2339
127,3,charter,0,85.388,0.6288
127,4,pier,1,55.74,0.1498
128,1,beach,0,134.366,0.0678
128,2,boat,0,31.74,0.0732
128,3,charter,1,61.24,0.1726
128,4,pier,0,134.366,0.0052
129,1,beach,0,49.74,0.2537
129,2,boat,0,59.688,0.2339
129,3,charter,0,78.188,0.6288
129,4,pier,1,49.74,0.1498
130,1,beach,0,205.27,0.0678
130,2,boat,1,94.74,0.0102
130,3,charter,0,129.74,0.0209
130,4,pier,0,205.27,0.0789
131,1,beach,0,205.27,0.0678
131,2,boat,1,94.74,0.0108
131,3,charter,0,129.74,0.2377
131,4,pier,0,205.27,0.0025
132,1,beach,0,107.77,0.0678
132,2,boat,0,49.74,0.0559
132,3,charter,1,84.74,0.6456
132,4,pier,0,107.77,0.0789
133,1,beach,0,261.366,0.0678
133,2,boat,1,61.74,0.0732
133,3,charter,0,91.24,0.1726
133,4,pier,0,261.366,0.0052
134,1,beach,0,108.966,0.0678
134,2,boat,1,25.74,0.0143
134,3,charter,0,55.24,0.0289
134,4,pier,0,108.966,0.0503
135,1,beach,0,286.766,0.0678
135,2,boat,1,67.74,0.0143
135,3,charter,0,97.24,0.0289
135,4,pier,0,286.766,0.0503
136,1,beach,0,375.802,0.5333
136,2,boat,1,205.27,0.0156
136,3,charter,0,240.27,0.0058
136,4,pier,0,375.802,0.4522
137,1,beach,0,68.77,0.0678
137,2,boat,0,31.74,0.0108
137,3,charter,1,66.74,0.2377
137,4,pier,0,68.77,0.0025
138,1,beach,0,68.77,0.0678
138,2,boat,0,31.74,0.0559
138,3,charter,1,66.74,0.6456
138,4,pier,0,68.77,0.0789
139,1,beach,0,67.784,0.5333
139,2,boat,0,17.862,0.0361
139,3,charter,1,52.862,0.4216
139,4,pier,0,67.784,0.0069
140,1,beach,0,186.184,0.5333
140,2,boat,0,49.062,0.2413
140,3,charter,1,84.062,1.0266
140,4,pier,0,186.184,0.4522
141,1,beach,0,66.32,0.2537
141,2,boat,1,66.32,0.2339
141,3,charter,0,84.82,0.6288
141,4,pier,0,66.32,0.1498
142,1,beach,0,38.184,0.5333
142,2,boat,0,10.062,0.1665
142,3,charter,1,45.062,0.3975
142,4,pier,0,38.184,0.4522
143,1,beach,0,72.462,0.0678
143,2,boat,1,74.32,0.0897
143,3,charter,0,109.32,1.0905
143,4,pier,0,72.462,0.0789
144,1,beach,0,49.062,0.0678
144,2,boat,0,50.32,0.0108
144,3,charter,1,85.32,0.2377
144,4,pier,0,49.062,0.0025
145,1,beach,0,333.258,0.5333
145,2,boat,1,94.506,0.2413
145,3,charter,0,129.506,1.0266
145,4,pier,0,333.258,0.4522
146,1,beach,0,85.698,0.1049
146,2,boat,0,60.306,0.0023
146,3,charter,1,84.306,0.0046
146,4,pier,0,85.698,0.0451
147,1,beach,0,166.698,0.2537
147,2,boat,0,166.698,0.0626
147,3,charter,1,185.198,0.2773
147,4,pier,0,166.698,0.0014
148,1,beach,0,252.858,0.5333
148,2,boat,0,71.706,0.0156
148,3,charter,1,106.706,0.0058
148,4,pier,0,252.858,0.4522
149,1,beach,0,128.706,0.0678
149,2,boat,1,182.898,0.0897
149,3,charter,0,217.898,1.0905
149,4,pier,0,128.706,0.0789
150,1,beach,0,212.658,0.5333
150,2,boat,0,60.306,0.0156
150,3,charter,1,95.306,0.0058
150,4,pier,0,212.658,0.4522
151,1,beach,0,212.658,0.5333
151,2,boat,0,60.306,0.0156
151,3,charter,1,95.306,0.0058
151,4,pier,0,212.658,0.4522
152,1,beach,0,92.058,0.5333
152,2,boat,0,26.106,0.0156
152,3,charter,1,61.106,0.0058
152,4,pier,0,92.058,0.4522
153,1,beach,0,139.35,0.1049
153,2,boat,1,63.172,0.0613
153,3,charter,0,87.172,0.3087
153,4,pier,0,139.35,0.0079
154,1,beach,0,109.35,0.1049
154,2,boat,1,49.572,0.0613
154,3,charter,0,73.572,0.3087
154,4,pier,0,109.35,0.0079
155,1,beach,0,323.31,0.5333
155,2,boat,1,56.372,0.2413
155,3,charter,0,91.372,1.0266
155,4,pier,0,323.31,0.4522
156,1,beach,0,71.214,0.0678
156,2,boat,1,71.214,0.0276
156,3,charter,0,96.214,0.0029
156,4,pier,0,71.214,0.0503
157,1,beach,0,94.35,0.1049
157,2,boat,1,42.772,0.1574
157,3,charter,0,66.772,0.4671
157,4,pier,0,94.35,0.0451
158,1,beach,0,109.35,0.1049
158,2,boat,0,49.572,0.0023
158,3,charter,1,73.572,0.0046
158,4,pier,0,109.35,0.0451
159,1,beach,0,49.572,0.0678
159,2,boat,0,121.014,0.1643
159,3,charter,0,150.014,0.5391
159,4,pier,1,49.572,0.0789
160,1,beach,0,206.31,0.5333
160,2,boat,0,35.972,0.2413
160,3,charter,1,70.972,1.0266
160,4,pier,0,206.31,0.4522
161,1,beach,0,245.31,0.5333
161,2,boat,0,42.772,0.0051
161,3,charter,1,77.772,1.0266
161,4,pier,0,245.31,0.4522
162,1,beach,0,206.31,0.5333
162,2,boat,0,35.972,0.2413
162,3,charter,1,70.972,1.0266
162,4,pier,0,206.31,0.4522
163,1,beach,0,64.35,0.2537
163,2,boat,0,167.31,0.6817
163,3,charter,1,192.31,2.3014
163,4,pier,0,64.35,0.1498
164,1,beach,1,42.772,0.0678
164,2,boat,0,104.414,0.1643
164,3,charter,0,133.414,0.5391
164,4,pier,0,42.772,0.0789
165,1,beach,0,323.31,0.5333
165,2,boat,0,56.372,0.0361
165,3,charter,1,91.372,0.4216
165,4,pier,0,323.31,0.0069
166,1,beach,1,15.572,0.0678
166,2,boat,0,38.014,0.1643
166,3,charter,0,67.014,0.5391
166,4,pier,0,15.572,0.0789
167,1,beach,0,71.214,0.0678
167,2,boat,1,71.214,0.2601
167,3,charter,0,96.214,0.5391
167,4,pier,0,71.214,0.0503
168,1,beach,0,104.414,0.0678
168,2,boat,1,94.35,0.0143
168,3,charter,0,123.85,0.0289
168,4,pier,0,104.414,0.0503
169,1,beach,1,124.35,0.2537
169,2,boat,0,124.35,0.2339
169,3,charter,0,142.85,0.6288
169,4,pier,0,124.35,0.1498
170,1,beach,0,104.414,0.0678
170,2,boat,0,104.414,0.2601
170,3,charter,1,129.414,0.5391
170,4,pier,0,104.414,0.0503
171,1,beach,0,175.748,0.2537
171,2,boat,1,175.748,0.0233
171,3,charter,0,194.248,0.0219
171,4,pier,0,175.748,0.1498
172,1,beach,0,335.34,0.5333
172,2,boat,1,72.9,0.0361
172,3,charter,0,107.9,0.4216
172,4,pier,0,335.34,0.0069
173,1,beach,0,243.34,0.5333
173,2,boat,0,52.9,0.0156
173,3,charter,1,87.9,0.0058
173,4,pier,0,243.34,0.4522
174,1,beach,1,22.372,0.0678
174,2,boat,0,54.614,0.1643
174,3,charter,0,83.614,0.5391
174,4,pier,0,22.372,0.0789
175,1,beach,0,206.31,0.5333
175,2,boat,0,35.972,0.0361
175,3,charter,1,70.972,0.4216
175,4,pier,0,206.31,0.0069
176,1,beach,0,29.172,0.0678
176,2,boat,0,64.35,0.0897
176,3,charter,1,99.35,1.0905
176,4,pier,0,29.172,0.0789
177,1,beach,0,323.31,0.5333
177,2,boat,1,56.372,0.0051
177,3,charter,0,91.372,1.0266
177,4,pier,0,323.31,0.4522
178,1,beach,0,35.972,0.0678
178,2,boat,0,79.35,0.0559
178,3,charter,1,114.35,0.6456
178,4,pier,0,35.972,0.0789
179,1,beach,0,362.31,0.5333
179,2,boat,1,63.172,0.2413
179,3,charter,0,98.172,1.0266
179,4,pier,0,362.31,0.4522
180,1,beach,0,71.214,0.0678
180,2,boat,0,64.35,0.1082
180,3,charter,1,93.85,0.324
180,4,pier,0,71.214,0.0503
181,1,beach,1,49.572,0.0678
181,2,boat,0,121.014,0.1643
181,3,charter,0,150.014,0.5391
181,4,pier,0,49.572,0.0789
182,1,beach,0,151.008,0.5333
182,2,boat,0,32.604,0.2413
182,3,charter,1,67.604,1.0266
182,4,pier,0,151.008,0.4522
183,1,beach,0,186.208,0.5333
183,2,boat,0,40.204,0.2413
183,3,charter,1,75.204,1.0266
183,4,pier,0,186.208,0.4522
184,1,beach,0,92.058,0.5333
184,2,boat,1,26.106,0.0361
184,3,charter,0,61.106,0.4216
184,4,pier,0,92.058,0.0069
185,1,beach,0,37.506,0.0678
185,2,boat,1,57.904,0.0014
185,3,charter,0,86.904,0.0029
185,4,pier,0,37.506,0.0789
186,1,beach,0,132.258,0.5333
186,2,boat,0,37.506,0.2413
186,3,charter,1,72.506,1.0266
186,4,pier,0,132.258,0.4522
187,1,beach,0,252.858,0.5333
187,2,boat,0,71.706,0.0361
187,3,charter,1,106.706,0.4216
187,4,pier,0,252.858,0.0069
188,1,beach,0,252.858,0.5333
188,2,boat,1,71.706,0.0361
188,3,charter,0,106.706,0.4216
188,4,pier,0,252.858,0.0069
189,1,beach,1,34.914,0.2537
189,2,boat,0,34.914,0.2339
189,3,charter,0,53.414,0.6288
189,4,pier,0,34.914,0.1498
190,1,beach,0,63.004,0.0678
190,2,boat,0,92.848,0.0102
190,3,charter,1,127.848,0.0209
190,4,pier,0,63.004,0.0789
191,1,beach,0,137.648,0.1049
191,2,boat,0,93.404,0.0613
191,3,charter,1,117.404,0.3087
191,4,pier,0,137.648,0.0079
192,1,beach,0,221.408,0.5333
192,2,boat,0,47.804,0.0051
192,3,charter,1,82.804,1.0266
192,4,pier,0,221.408,0.4522
193,1,beach,0,206.31,0.5333
193,2,boat,1,35.972,0.1665
193,3,charter,0,70.972,0.3975
193,4,pier,0,206.31,0.4522
194,1,beach,0,21.714,0.2537
194,2,boat,0,21.714,0.2339
194,3,charter,0,40.214,0.6288
